pmid,title,year,abstract
41676147,Role of cytokine levels in pathogen classification and prognosis of pediatric septic shock.,2026,"BACKGROUND: The pathogenic role of inflammatory cytokine levels in children with septic shock has not been completely clarified. The aim of this study was to investigate the relationships between the early concentrations of inflammatory cytokines, pathogen classification, and 28-day mortality in children with septic shock. METHOD: We retrospectively analyzed the early expression of cytokines in children admitted to the pediatric intensive care unit (PICU) of a tertiary pediatric hospital due to septic shock between July 2019 and September 2024. RESULTS: A total of 189 children with septic shock were included and 68 died within 28 days of hospitalization. The plasma levels of IL-6 (P = 0.001), IL-10 (P < 0.001), IFN-gamma (P = 0.002), and TNF-alpha (P = 0.014) were significantly higher in the nonsurvivor group than in the survivor group. Multivariate Cox regression analysis revealed that the IL-6 level was an independent risk factor for 28-day mortality after controlling platelet count and lactate, lactate dehydrogenase, Hb, IFN-gamma, and TNF-alpha levels. ROC analysis revealed the AUC values of the IL-6, IL-10, IFN-gamma, and TNF-alpha levels were 0.64, 0.68, 0.64 and 0.61, respectively, and that the optimal cutoff values were 414.92 pg/ml, 29.66 pg/ml, 1.605 pg/ml and 0.725 pg/ml, respectively. According to these cutoff values, the survival curves of the groups with high levels of IL-6, IL-10, IFN-gamma, and TNF-alpha differed significantly from those with low levels (p < 0.001, p < 0.001, p = 0.001, and p = 0.001, respectively). In children with positive fluid cultures, there was no statistically significant difference in cytokines levels between the gram-positive bacterial (G+) and gram-negative bacterial (G-) infection groups. However, in children with positive blood cultures, the levels of IL-6 (p = 0.005) and IL-10 (p = 0.003) were significantly higher in the G- group than in the G+ group. CONCLUSION: Elevated IL-6 and IL-10 levels are valuable for predicting 28-day mortality and identifying gram-negative bacteremia in pediatric patients with septic shock. IFN-gamma and TNF-alpha levels also have significant value for predicting 28-day mortality. Moreover, the IL-6 level was an independent risk factor for 28-day mortality."
41676093,Early risk stratification of sepsis-related liver injury via machine learning: a multicohort study.,2026,"BACKGROUND: Sepsis-related liver injury (SRLI) is associated with poor prognosis and high morbidity in septic patients. Early mitigation of liver injury is crucial for improving outcomes in the critically ill. However, early detection and intervention remain challenging, due in part to the lack of effective diagnostic and screening strategies. This study aimed to apply machine learning (ML) approaches to identify significant predictors for the onset of SRLI, with the goal of facilitating early identification of high-risk patients. METHODS: This retrospective study utilized data from the Medical Information Mart for Intensive Care IV (MIMIC-IV) database, divided into training and internal validation cohorts. An additional external validation cohort consisted of 120 sepsis patients from Nanjing Jinling Hospital. We constructed seven ML models and two conventional assessment scales to predict the risk of SRLI in patients who did not meet the SRLI criteria within the first 24 h of ICU admission. The Boruta algorithm was employed for feature selection. Hyperparameter tuning was performed on the training set using grid search. Model performance was evaluated by the area under the receiver operating characteristic curve (ROC-AUC) and precision-recall area under the curve (PR-AUC), along with specificity, sensitivity, accuracy, F1 score. The clinical utility of the models was evaluated using decision curve analysis. Shapley additive explanation (SHAP) was used to provide clinicians with an intuitive understanding of the machine learning model. RESULTS: After applying exclusion criteria, 9,434 sepsis patients from MIMIC-IV were included for model development. The Random Forest (RF) model demonstrated superior overall predictive performance in internal validation, achieving an area under the curve of 0.867, precision-recall area under the curve of 0.392. Decision curve analysis indicated the RF model provided a positive net benefit across a wide range of high risk thresholds. In the RF model, total bilirubin, international normalized ratio, sequential organ failure assessment, logistic organ dysfunction system, and prothrombin time were the most important indexes during the initial 24 hours following ICU admission, according to SHAP value. In the external validation, the RF model also outperformed all others (ROC-AUC: 0.862, PR-AUC: 0.735). CONCLUSION: Our study explored ML-based models for predicting SRLI among sepsis at an earlier stage and the performance of random forest model ranked best. The significant predictive contribution of prothrombin time highlights its potential as a key monitoring marker for early risk stratification in septic patients."
41676092,The endothelial activation and stress index as a predictor of 28-day mortality in pulmonary sepsis: a retrospective two-cohort analysis.,2026,"BACKGROUND: The Endothelial Activation and Stress Index (EASIX) is an emerging biomarker that serves as a straightforward and objective measure of systemic endothelial dysfunction and critical illness severity. This study aims to evaluate the prognostic value of EASIX for 28-day mortality in patients with pulmonary sepsis. MATERIALS AND METHODS: This retrospective study utilised a two-cohort design. The internal cohort was derived from MIMIC-IV; an external cohort was derived from a tertiary hospital (2022-2025). The association between the EASIX and 28-day mortality was evaluated using multivariable Cox regression, restricted cubic spline (RCS) analysis, and Kaplan-Meier survival curves. An ensemble machine-learning approach (Boruta, LASSO-COX, XGBoost, and SVM) was employed for feature selection. Significant predictors were incorporated into a multivariate Cox model to construct a prognostic nomogram. The model's discriminative performance was assessed using receiver operating characteristic (ROC) curves and the area under the curve (AUC), and compared against conventional severity scores. RESULTS: A total of 5,416 patients were analyzed. In multivariable adjusted models, the EASIX emerged as an independent predictor of short term mortality. Each unit increase in EASIX was associated with a 7% higher risk of 28-day ICU death (HR 1.07, 95% CI 1.05-1.11, p < 0.001). A clear dose-response relationship was observed across EASIX quartiles, with mortality rising from 13.29% (Q1) to 27.92% (Q4); patients in Q4 had nearly twice the mortality risk of those in Q1 (HR 1.99, 95% CI 1.60-2.46). RCS analysis revealed a nonlinear relationship. Machine-learning feature selection consistently identified EASIX as a core variable. The final prognostic model, integrating EASIX with five other clinical features, demonstrated stable and superior discriminative ability (AUC 0.67-0.73) compared to traditional severity scores in both internal and external validation. CONCLUSION: EASIX is a potent and independent predictor of short-term mortality in pulmonary sepsis. Its integration into a pragmatic prognostic model enhances early risk stratification, highlighting its potential as a readily available clinical tool."
41676054,Use of LVAD HeartMate 3 and Impella RP in the management of advanced heart failure in an elderly patient: a case report.,2026,"Heart failure (HF) is a leading cause of morbidity and mortality. Mechanical circulatory support (MCS), such as the HeartMate 3 left ventricular assist device (LVAD), is a therapeutic option for patients who are ineligible for heart transplantation. Right heart failure (RHF), depending on the clinical criteria applied for its diagnosis, occurs in 10-40% of patients following LVAD implantation and significantly worsens prognosis. This report presents a 69-year-old male with chronic ischemic HF, prior cardiac resynchronization therapy with defibrillator (CRT-D) implantation, and coronary intervention with drug-eluting stents. Due to progressive mitral regurgitation (MR) and elevated HF biomarkers, MitraClip implantation was performed with initial clinical improvement. Subsequently, left ventricular function deteriorated despite optimized pharmacotherapy, leading to HeartMate 3 LVAD implantation. The postoperative course was complicated by recurrent cardiac tamponade requiring surgical management. Progressive RHF necessitated temporary support with an Impella RP device. Further complications included recurrent infections, sepsis, respiratory failure, and acute kidney injury requiring renal replacement therapy. Despite comprehensive treatment, progressive multiorgan failure and severe cachexia developed. Given the patient's status as a destination therapy, care was transitioned to home-based palliative management. This case illustrates the complexity of managing end-stage HF with LVAD support, highlighting the frequent complications such as RHF and infections, and the importance of recognizing when to prioritize comfort in advanced disease."
41675927,Analysis of prognostic risk factors and risk management measures for patients with ischemic stroke and bloodstream infection based on machine learning.,2025,"OBJECTIVE: Through the machine learning Least absolute shrinkage and selection operator (LASSO) algorithm, the system screened core prognostic risk factors for patients with ischaemic stroke and bloodstream infection, constructed and validated a predictive model, provides a basis for formulating precise risk management strategies in clinical practice. METHODS: Clinical data from patients with bloodstream infections secondary to ischaemic stroke were retrospectively included. The dataset was randomly allocated into training and validation sets at a 7:3 ratio. Within the training set, Model 1 was constructed using traditional univariate and multivariate Cox regression methods, while Model 2 employed the machine learning LASSO regression algorithm. Models were compared using metrics including R-squared, C-index. The superior model was selected for validation on both training and validation sets using Area Under the Curve (AUC) of the receiver operating characteristic curve, calibration curves, and Decision-Making Curves (DCA). RESULTS: Model 2 was adopted as the final model, with a nomogram generated for the training set. As demonstrated by the nomogram, an increase in the total score was observed in patients with concomitant pneumonia, heart failure (HF), or coronary atherosclerotic heart disease (CHD), in cases where mechanical ventilation (MV) was utilised, and in instances of elevated alanine aminotransferase (ALT) and C-reactive protein-lymphocyte ratio (CLR) values, and reduced albumin levels. In the training set, the AUC values for predicting 7-day, 14-day, and 28-day survival rates were 0.875, 0.886, and 0.861, respectively. The AUC value for the 28-day prognosis on the internal test set was 0.844, while that on the external validation dataset was 0.860. The model demonstrated high concordance between predicted and actual probabilities across three distinct cohorts. The clinical decision curve indicates that the model provides good net benefit within the 5%-25% range at all three time points (7,14,and 28 days) across the three datasets. CONCLUSION: Comorbidities such as pneumonia and hypoalbuminaemia constitute prognostic risk factors affecting patients with ischaemic stroke and bloodstream infections. LASSO regression enables precise identification of these risk factors, yielding a prognostic prediction model with outstanding predictive efficacy and clinical utility. Clinicians may utilise model variables to implement targeted risk management strategies."
41674606,Rapid Detection of Inter-alpha Inhibitor Proteins in Neonatal Sepsis and Necrotizing Enterocolitis.,2026,"Inter-alpha Inhibitor Proteins (IAIP) are serine protease inhibitors and a reliable inflammatory biomarker. We have demonstrated that IAIP levels decrease during sepsis in humans and animal models. Currently, enzyme-linked immunosorbent assay (ELISA) is the standard procedure to measure IAIP levels. We developed a lateral flow immunoassay (LFIA) that allows rapid, point of care detection. We compared IAIP levels in infants with sepsis and/or necrotizing enterocolitis (NEC) by ELISA and LFIA in a multi-center, cross-sectional study. Blood samples were collected from 47 infants with sepsis, 31 sepsis case controls, 52 gestational age (GA)-matched controls and 10 infants with culture-negative sepsis (""clinical sepsis""). We also collected samples from 17 infants with NEC, 7 NEC case controls and 15 GA controls. IAIP levels at presentation of acute events and over the next 72 hours were significantly reduced in infants with sepsis, NEC and culture negative sepsis when compared to controls. IAIP levels did not differ in patients with sepsis or culture negative sepsis. IAIP levels measured by ELISA and LFIA were highly correlated (R (2) = 0.9326) and both showed reliable detection of neonatal sepsis, NEC and culture negative sepsis. IAIP levels were 80.0% sensitive and 92.3% specific using LFIA for the detection of neonatal sepsis. For detection of NEC, IAIP levels were 84.6% sensitive and 86.7% specific."
41674120,Interpreting peripheral oxygen saturation variability in critical illness: A directional framework adjusted for hypoxia severity.,2026,"Peripheral oxygen saturation ( SpO2 ) exhibits a complex pattern of fluctuations during hypoxia, which can be quantified using entropy measures. SpO2 entropy analysis provides insights into dynamic physiological regulation by non-invasively reflecting the body's capacity to adapt to internal or external physiological challenges. However, the interpretation of SpO2 entropy alone is limited without contextualisation and the degree of physiological challenge encountered (e.g. the severity of hypoxia). This proof-of-concept retrospective study analysed continuous 1 Hz SpO2 recordings extracted from MIMIC-III dataset's Intensive Care Unit ICU patients with sepsis (n = 164), chronic obstructive pulmonary disease (COPD) (n = 58), acute liver failure (ALF) (n = 59), or cirrhosis (n = 169). Sample entropy was computed directly from raw 20-min SpO2 signals and normalised to mean SpO2 using directional parenclitic deviation (delta), derived from a healthy hypoxia-exposure reference dataset. Cox-regression models assessed 30-day ICU mortality. In sepsis, delta was significantly higher in non-survivors (hazard ratio (HR) = 2.20, P < 0.0001) and independently predicted 30-day mortality (HR = 1.79, P < 0.0001). delta was not predictive in the COPD, ALF and cirrhosis cohorts. Unlike other patient groups, the cirrhosis group demonstrated unexpected mean negative delta values, suggesting aberrant regulatory engagement, potentially related to the pathophysiology of hepatopulmonary syndrome. These findings demonstrate that delta provides physiological contexts to entropy-based SpO2 analysis. By linking variability to the severity of hypoxia, this framework enables a more interpretable and a potentially clinically applicable biomarker of systemic regulation in critical illnesses. Future validation across diverse cohorts could support its potential to aid in personalised care within intensive care settings."
41672594,"Phase 1 open-label study of ASP9801, an oncolytic virus, in patients with advanced or metastatic solid tumors.",2026,"PURPOSE: ASP9801, an oncolytic virus encoding interleukin-7 and interleukin-12, was assessed for safety, tolerability, pharmacokinetics, and antitumor activity in patients with advanced solid tumors in a Phase 1 study. METHODS: The study comprised Part 1 ASP9801 monotherapy dose escalation and Part 2 dose expansion with ASP9801 monotherapy or plus pembrolizumab. Each part was divided into Groups A (ASP9801 injection into cutaneous/subcutaneous lesions) and B (ASP9801 injection into visceral lesions). Primary objectives were safety and maximum tolerated dose and/or recommended Phase 2 dose expansion (RP2D); secondary objectives included antitumor activity and pharmacokinetics. RESULTS: In dose escalation, 17 and 10 patients in Groups A and B, respectively, received treatment. One dose-limiting toxicity (DLT; grade 3 cytokine release syndrome) was reported in Group A. Treatment-related adverse events (TRAEs) in >/=30% of patients in Group A were pyrexia and in Group B were pyrexia, chills, vomiting, nausea, fatigue, and headache. AEs leading to death occurred in two patients in Group A (one each for malignant neoplasm progression and sepsis); neither was attributed to ASP9801. The RP2D of ASP9801 was 5x10(8) plaque-forming unit/mL. In Part 2 dose expansion Group A, 12 patients received monotherapy RP2D, 5 received monotherapy induction, and 2 received ASP9801 plus pembrolizumab. In Group B, 9 and 11 patients received ASP9801 monotherapy or plus pembrolizumab, respectively. One DLT occurred in Group B combination safety cohort (grade 2 pyrexia and mental status change; grade 3 hypoxia, lymphopenia, and pneumonitis). During dose expansion, TRAEs in >/=30% of any cohort (>1 patient) in Group A were nausea, fatigue, chills, pyrexia, and headache and in Group B were nausea, vomiting, fatigue, chills, pyrexia, and lymphocyte count decreased. AEs led to death in two patients in Group A monotherapy and one patient in Group B monotherapy cohorts, all due to malignant neoplasm progression; none were attributed to ASP9801. One patient in Group B combination safety cohort achieved confirmed partial response (objective response rate, 9.1% (95% CI 0.3% to 52.7%)). CONCLUSIONS: Treatment with ASP9801 alone or plus pembrolizumab was generally well tolerated; however, the study was stopped due to lack of efficacy during dose expansion."
41670654,Procalcitonin kinetics in critically ill children: impact of continuous kidney replacement therapy modality and dose.,2026,"BACKGROUND: Acute kidney injury (AKI) is common in critically ill children, frequently necessitating continuous kidney replacement therapy (CKRT). Procalcitonin (PCT) is widely used as an infection biomarker, yet its interpretation during CKRT remains unclear. Adult data regarding extracorporeal clearance of PCT are inconsistent, while pediatric evidence is limited. METHODS: In this prospective observational study (May 2021-October 2023), 40 critically ill children receiving CKRT in a tertiary PICU were enrolled. Serum PCT was measured at CKRT initiation (T0), 12 h (T12), and 24 h (T24). CKRT modalities (CVVH, CVVHD, CVVHDF), effluent doses, and membrane types (PS, PAES, AN69-ST) were recorded. PCT kinetics were analyzed using non-parametric tests, with correlation assessed by Spearman's rank. RESULTS: Median baseline PCT was 3.6 ng/mL (IQR 0.5-27.2), rising to 7.4 (0.6-29.5) at T12 and stabilizing at 7.7 (0.6-30.5) at T24. Differences across time points were not statistically significant (p = 0.68). PCT trajectories were unaffected by CKRT modality, effluent dose, or membrane type, and no correlation was found between effluent dose and PCT changes. Stratification by high versus low effluent dosing revealed no significant differences. CKRT-related complications occurred in 17.5%, mainly filter clotting, without influencing PCT. PICU mortality was 35%, reflecting illness severity rather than CKRT. CONCLUSIONS: In pediatric CKRT, short-term PCT dynamics are driven by the underlying septic or inflammatory process rather than CKRT parameters. PCT typically peaks within 12 h of CKRT initiation and then stabilizes, supporting its reliability for infection monitoring and antibiotic stewardship during early CKRT. Larger studies are warranted to define long-term PCT behavior and prognostic utility."
41669529,Intestinal microenvironment dynamics and Sepsis-associated encephalopathy pathophysiology: insights from multi-omics profiling.,2025,"BACKGROUND: Sepsis-associated encephalopathy (SAE), a devastating complication of sepsis, lacks specific biomarkers and clear pathophysiological understanding, particularly regarding the gut-brain axis. While gut dysbiosis is implicated in SAE, the underlying mechanisms remain elusive. METHODS: This study employed an integrated multiomics approach (16S rDNA and fecal miRNA sequencing) to dissect the gut microenvironment in SAE patients (n = 10) compared to sepsis patients without encephalopathy (SP, n = 20). RESULTS: Although alpha- and beta-diversity indices showed no significant differences, distinct compositional shifts in the gut microbiota were observed in SAE patients, characterized by increased abundance of Neisseria, Haemophilus, Lautropia, Enterococcus, Parabacteroides, and decreased Fusobacterium, Phocaeicola, Bacteroides, among others. Concurrently, 12 fecal miRNAs were differentially expressed (DE) in SAE, with 11 upregulated (e.g., miR-106a-5p, miR-181a-5p, miR-223-5p, miR-30e-3p) and 1 downregulated (miR-222-3p). Crucially, correlation network analysis revealed significant interactions between 10 DE miRNAs and 15 bacterial genera, establishing a complex gut microbiota-miRNA interplay in SAE. Machine learning (LASSO and elastic net regression) identified miR-30e-3p and miR-223-5p as the most promising combined diagnostic biomarkers, achieving an area under the curve (AUC) of 0.893. Functional exploration via ceRNA network analysis indicated miR-30e-3p targets inflammation and apoptosis-related genes (e.g., IL1B, RPS6KB1, AKT1), while miR-223-5p primarily targets immune-regulatory genes (e.g., IGF1, AR). Experimental validation confirmed significantly elevated serum IL-1beta levels in SAE patients (p < 0.001), supporting the predicted inflammatory pathway. CONCLUSION: This study provides the first evidence of a fecal miRNA-gut microbiota interaction network in SAE pathogenesis, highlighting miR-30e-3p and miR-223-5p as pivotal mediators and potential diagnostic/therapeutic targets."
