pmid,title,year,abstract
41567647,Preventive effect of small molecule active substances on septic cardiomyopathy after abdominal trauma: a systematic review and meta-analysis.,2025,"OBJECTIVE: This systematic review and meta-analysis aimed to comprehensively evaluate the preventive effects and mechanisms of active small molecules against septic cardiomyopathy (SCM) induced by abdominal trauma or abdominal-origin sepsis in animal models. METHODS: The PubMed, Embase, Web of Science, Scopus and Cochrane Library databases were searched in January 2000- May 2025 for studies assessing active small molecules in animal SCM models. The standardised mean difference ([SMD], Hedges' g) with 95% confidence intervals (CIs) was calculated using random-effects meta-analysis. Subgroup analyses were conducted according to molecular categories, sepsis induction methods, and outcome measures. Methodological quality was assessed using the Systematic Review of Laboratory Animal Experiments risk-of-bias tool. RESULTS: Seventeen studies met the inclusion criteria. The pooled meta-analysis showed that active small molecules had an overall beneficial but heterogeneous effect on SCM (SMD = 1.47, 95% confidence interval [CI]: -0.52-3.47, I(2) = 92.9%). Subgroup analyses revealed large but imprecise effects for polyphenols (SMD = 4.81, 95% CI: -5.25-14.87) and neutral effects for flavonoids (SMD = -0.45, 95% CI: -3.64-2.73). The efficacy was greater in lipopolysaccharide-induced sepsis models (SMD = 2.86) compared with cecal ligation and puncture models (SMD = 0.16). Outcomes involving cardiac injury biomarkers (creatine kinase and creatine kinase isozymes) showed consistently positive and robust effects, while functional outcomes (e.g., left ventricular ejection fraction) exhibited inconsistent results. Sensitivity analyses confirmed robustness, while funnel plots indicated possible publication bias (Egger's test, p = 0.123). Methodological limitations, including incomplete reporting of randomisation, blinding and allocation concealment, were commonly observed. CONCLUSION: Active small molecules demonstrate generally positive yet heterogeneous preventive efficacy against SCM in animal models, with polyphenolic compounds in particular showing notable potential. Variability across molecular categories, sepsis models and measured outcomes highlights the need for standardised methodologies in future studies."
41561091,"Clinical and molecular features of candidemia: a three-year retrospective study in Northern Guizhou, China.",2025,"OBJECTIVE: Candidemia, a life-threatening infection with rising incidence and substantial mortality, necessitates improved management strategies. This study aimed to investigate the clinical features, species distribution, risk factors, antifungal susceptibility, and molecular epidemiology of Candida albicans isolates from candidemia patients over a three-year period. METHODS: This retrospective study included 133 patients with candidemia from a teaching hospital in Guizhou, China between December 2019 and November 2022. Clinical data were compared between C. albicans (n = 63) and non-C. albicans (NAC) (n = 70) groups. Risk factors and prognostic biomarkers were identified using logistic regression and ROC analysis. Multilocus sequence typing (MLST) was performed for C. albicans isolates. RESULTS: NAC species predominated (52.6%) over C. albicans (47.4%). The 30-day all-cause mortality was 48.1%, higher in C. albicans infections. For C. albicans, hypoalbuminemia and septic shock were independent mortality risk factors, while antifungal therapy and higher platelets were protective. For NAC, septic shock and elevated serum urea were risk factors. Prognostic biomarkers included D-dimer and CRP for C. albicans, and serum urea and total bilirubin for NAC. Most isolates were antifungal-susceptible, though C. glabrata and C. tropicalis showed increased azole non-susceptibility. MLST of 48 C. albicans isolates identified 7 novel alleles and 23 new DST types. CC9 was the predominant clonal complex. CC138 and CC139 are newly reported clonal complexes. CONCLUSION: This study confirms that candidemia remains a serious threat with high mortality. The distinct risk factors and prognostic biomarkers between C. albicans and non-C. albicans species indicate the need for species-specific management. Although overall resistance remains low, emerging azole non-susceptibility in key species underscores the necessity for continuous susceptibility surveillance. MLST revealed a highly diverse and evolving C. albicans population, including novel genetic lineages. Integrating molecular epidemiology with clinical data is crucial for advancing global candidemia management."
19949759,Venous catheter-associated bacteremia caused by rapidly growing mycobacteria at a medical center in central Taiwan.,2009,"BACKGROUND AND PURPOSE: Infections due to rapidly growing mycobacteria (RGM) are increasing worldwide, especially in immunocompromised hosts, but data on the clinical features of patients with RGM bacteremia are limited in Taiwan. This study was performed to determine the features associated with RGM. METHODS: The medical records of 12 patients with RGM bacteremia admitted to the Changhua Christian Hospital, Changhua, Taiwan, from April 2001 to March 2003 were retrospectively studied. Clinical data were reviewed and antimicrobial susceptibility testing of blood isolates by the agar disk elution method was performed. RESULTS: RGM bacteremia was caused by Mycobacterium fortuitum in 5 patients, Mycobacterium smegmatis in 3, Mycobacterium flavescens in 2, and Mycobacterium abscessus in 2. There were 5 men and 7 women (age range, 4-75 years). All patients had underlying diseases and all of the infections were associated with an indwelling vascular catheter. The time to onset of bacteremia ranged from 1 to 24 months. Fever (n = 11) was the most common presenting symptom. Susceptibility testing revealed a different antibiogram for each species of RGM. The rate of relapsing bacteremia was significantly higher in patients with delayed catheter removal and for whom the catheter was not removed (6/8; 75%) than in patients with timely catheter removal (0/4; 0%) [p = 0.03]. CONCLUSIONS: RGM bacteremia is rare but should be considered in immunocompromised patients with an indwelling venous catheter and undifferentiated fever. Identifying RGM at the species level and performing susceptibility testing are useful for guiding management. The catheter should be removed as soon as possible."
25681153,In vitro susceptibility and molecular characterization of Candida spp. from candidemic patients.,2015,"BACKGROUND: Candida species are the main cause of hospital acquired fungal bloodstream infections. The main risk factors for candidemia include parenteral nutrition, long-term intensive care, neutropenia, diabetes, abdominal surgery and the use of central venous catheters. The antifungal drugs used to treat candidemia are mainly the echinocandins, however some isolates may be resistant to these drugs. AIMS: This work aims to evaluate the in vitro susceptibility patterns of various Candida species isolated from blood samples and provide their identification by molecular characterization. METHODS: Antifungal susceptibility testing was performed using the broth microdilution method. The sequencing of the ITS and D1/D2 regions of rDNA was used for molecular characterization. RESULTS: Seventy-four of the 80 isolates were susceptible to anidulafungin, 5 were intermediate, and 1 was resistant. For micafungin 67 were susceptible, 8 were intermediate and 5 were resistant. All isolates were susceptible to amphotericin B. Lastly, 65 isolates were susceptible to fluconazole, 8 were dose-dependent and 4 were resistant. The molecular identification corroborated the phenotypic data in 91.3% of the isolates. CONCLUSIONS: Antifungal susceptibility data has an important role in the treatment of candidemia episodes. It was also concluded that the molecular analysis of isolates provides an accurate identification and identifies genetic variability within Candida species isolated from patients with candidemia."
41446870,From Defense to Dysfunction: Decoding the Paradox of Emergency Granulopoiesis in Sepsis Pathogenesis.,2025,"Sepsis is a life-threatening syndrome caused by dysregulated host response that culminates in organ dysfunction. Recognizing that many prior reviews treated neutrophils as largely homogeneous or discussed their functions in isolation, we present a framework centered on emergency granulopoiesis that unifies groundbreaking single-cell multi-omics discoveries, bone marrow niche remodeling, and bedside biomarkers such as the immature-to-total neutrophil ratio and sepsis endotypes to explain the shift from defense to dysfunction. As a hallmark adaptation, emergency granulopoiesis rapidly replenishes neutrophils but paradoxically yields immature neutrophils with impaired chemotaxis, excessive neutrophil extracellular trap formation (NETosis)/reactive oxygen species, and immunosuppressive activity that aggravate tissue damage, organ failure, and late immunoparalysis. We synthesize subset-level diversity and map this diversity to transcriptional shifts coupled with epigenetic and metabolic reprogramming as well as stromal inflammation. Clinically, elevated immature-to-total neutrophil ratios and these immature subsets align with disease severity and mortality, supporting biomarker-guided stratification. Stage-specific therapeutic strategies are evaluated along the continuum of emergency granulopoiesis, calibrating NETosis, and modulating metabolic reprogramming and epigenetics to restore neutrophil homeostasis. Furthermore, we delineate testable priorities for future research such as standardizing immature neutrophil phenotyping across cohorts and defining harmonized immature-to-total neutrophil ratio thresholds. By explicitly centering emergency granulopoiesis and integrating single-cell biology with bedside indicators, this review clarifies why a protective program becomes maladaptive in sepsis and outlines practical avenues for targeted interventions and trial design."
33094141,Pre and postnatal diagnosis of congenital portosystemic shunt: Impact of interventional therapy.,2020,"INTRODUCTION: Congenital portosystemic shunts (CPSS) are rare vascular malformations that can lead to severe complications. With advanced imaging techniques, diagnosis is becoming more feasible occurring in fetal life. Different approaches have been adopted to manage these cases, with an increased utilization of interventional therapy recently. This cohort aims to describe the course of children diagnosed with CPSS and the impact of interventional therapy on the outcome. METHODS: Retrospective chart review was done for all patients who were diagnosed with CPSS in our institution between January 2006 and December 2015. RESULTS: Six patients were diagnosed with CPSS. During this period, 8,680 mothers carrying 9548 fetuses underwent fetal ultrasound examinations. Three patients were diagnosed antenatally at a median [IQ] gestational age of 33 [26-33] weeks, and three patients were diagnosed postnatally at 0, 2, and 43 months, respectively. At a median follow-up of 87 [74-110] months, 5 patients are alive; 4 of whom had received transcatheter closure for different indications, and one who had spontaneous resolution of her CPSS. One infant died at the age of 6 weeks secondary to sepsis. CONCLUSION: CPSS can result in significant complications in children. Interventional therapy is feasible at any age group, but long-term follow-up is warranted."
20182674,"Activity of ertapenem, ciprofloxacin, ceftriaxone, piperacillin-tazobactam, and ampicillin-sulbactam against 12 common clinical isolates of community-acquired bacteremia.",2009,"BACKGROUND AND PURPOSE: To compare the antimicrobial activities of ertapenem, ciprofloxacin, ceftriaxone, piperacillin-tazobactam, and ampicillin-sulbactam against 12 common organisms that cause community-acquired bacteremia and to identify the most active agents for the treatment of extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli and Klebsiella pneumoniae. METHODS: 1200 blood specimens from patients with community-acquired bacteremia were collected at Chang Gung Memorial Hospital, Kaohsiung, Taiwan. All isolates were identified by the API system, and each culture's antimicrobial susceptibility was determined by the standard disk-diffusion method. The minimal inhibitory concentrations of the antibiotics were detected by the Epsilimeter test. RESULTS: The in vitro susceptibilities of 11 of the 12 common pathogens to ertapenem were 100%. The frequency of ESBL-producing E. coli and K. pneumoniae was 6.2% and 9.5%, respectively. Only 48% and 50% of E. coli and K. pneumoniae, respectively, were susceptible to ciprofloxacin. These data infer that ciprofloxacin should not be given for ESBL-producing E. coli and K. pneumoniae. Ceftriaxone and piperacillin-tazobactam had high activity against the most common pathogens isolated. CONCLUSIONS: ESBL E. coli and K. pneumoniae are highly resistant to ciprofloxacin, so this antibiotic should be avoided for patients with community-acquired bacteremia. ESBL E. coli and K. pneumoniae are highly susceptible to ertapenem."
19956924,Plasma and urine neutrophil gelatinase-associated lipocalin in septic versus non-septic acute kidney injury in critical illness.,2010,"OBJECTIVE: Sepsis is the most common trigger for acute kidney injury (AKI) in critically ill patients. We sought to determine whether there are unique patterns to plasma and urine neutrophil gelatinase-associated lipocalin (NGAL) in septic compared with non-septic AKI. DESIGN: Prospective observational study. SETTING: Two adult ICUs in Melbourne, Australia. PATIENTS: Critically ill patients with septic and non-septic AKI. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: Blood and urine specimens collected at enrollment, 12, 24 and 48 h to measure plasma and urine NGAL. Eighty-three patients were enrolled (septic n = 43). Septic AKI patients had more co-morbid disease (p = 0.005), emergency surgical admissions (p < 0.001), higher illness severity (p = 0.008), more organ dysfunction (p = 0.008) and higher white blood cell counts (p = 0.01). There were no differences at enrollment between groups in AKI severity. Septic AKI was associated with significantly higher plasma (293 vs. 166 ng/ml) and urine (204 vs. 39 ng/mg creatinine) NGAL at enrollment compared with non-septic AKI (p < 0.001). Urine NGAL remained higher in septic compared with non-septic AKI at 12 h (p < 0.001) and 24 h (p < 0.001). Plasma NGAL showed fair discrimination for AKI progression (area under receiver-operator characteristic curve 0.71) and renal replacement therapy (AuROC 0.78). Although urine NGAL performed less well (AuROC 0.70, 0.70), peak urine NGAL predicted AKI progression better in non-septic AKI (AuROC 0.82). CONCLUSION: Septic AKI patients have higher detectable plasma and urine NGAL compared with non-septic AKI patients. These differences in NGAL values in septic AKI may have diagnostic and clinical relevance as well as pathogenetic implications."
31853447,Machine learning in data abstraction: A computable phenotype for sepsis and septic shock diagnosis in the intensive care unit.,2019,"BACKGROUND: With the recent change in the definition (Sepsis-3 Definition) of sepsis and septic shock, an electronic search algorithm was required to identify the cases for data automation. This supervised machine learning method would help screen a large amount of electronic medical records (EMR) for efficient research purposes. AIM: To develop and validate a computable phenotype via supervised machine learning method for retrospectively identifying sepsis and septic shock in critical care patients. METHODS: A supervised machine learning method was developed based on culture orders, Sequential Organ Failure Assessment (SOFA) scores, serum lactate levels and vasopressor use in the intensive care units (ICUs). The computable phenotype was derived from a retrospective analysis of a random cohort of 100 patients admitted to the medical ICU. This was then validated in an independent cohort of 100 patients. We compared the results from computable phenotype to a gold standard by manual review of EMR by 2 blinded reviewers. Disagreement was resolved by a critical care clinician. A SOFA score >/= 2 during the ICU stay with a culture 72 h before or after the time of admission was identified. Sepsis versions as V1 was defined as blood cultures with SOFA >/= 2 and Sepsis V2 was defined as any culture with SOFA score >/= 2. A serum lactate level >/= 2 mmol/L from 24 h before admission till their stay in the ICU and vasopressor use with Sepsis-1 and-2 were identified as Septic Shock-V1 and-V2 respectively. RESULTS: In the derivation subset of 100 random patients, the final machine learning strategy achieved a sensitivity-specificity of 100% and 84% for Sepsis-1, 100% and 95% for Sepsis-2, 78% and 80% for Septic Shock-1, and 80% and 90% for Septic Shock-2. An overall percent of agreement between two blinded reviewers had a k = 0.86 and 0.90 for Sepsis 2 and Septic shock 2 respectively. In validation of the algorithm through a separate 100 random patient subset, the reported sensitivity and specificity for all 4 diagnoses were 100%-100% each. CONCLUSION: Supervised machine learning for identification of sepsis and septic shock is reliable and an efficient alternative to manual chart review."
15615466,[Initial antibiotic therapy of neonatal sepsis].,2004,"It is certain that in the past the types of bacterial agents responsible for neonatal sepsis and their sensitivity to antibiotics were not the same in all historical periods. However, the reports confirming the conclusion have been published only in the last three years. According to these facts, the bacterial causes of neonatal sepsis were analyzed in patients treated at the University children's hospital in Belgrade (S&M) as well as their sensitivity to antibiotics to determine the most effective initial therapy. Between January 2001 and June 2004, 35 neonates, aged from 1-30 days, with positive blood culture were treated. Gram-negative bacteria were the cause of sepsis in 57% of patients (Pseudomonas--20%, Klebsiella--20%, E. coli--8.5%, Acinetobacter--8.5%), gram-positive in 43% (coagulase-negative Staphylococci--14%, Staphylococcus epidermidis--14%, Staphylococcus aureus--9%, Streptococcus group B--3%, Listeria monocytogenes--3%). The bacteria were the most sensitive to carbapenems (85-89%), amikacin (68%), third-generation cephalosporins (47-50%), while the sensitivity to gentamicin was less than expected (48.5%). Sensitivity to ampicillin (8%) confirmed a high level of resistance to this antibiotic. All isolated Staphylococci were sensitive to vancomycin, and the overall methicillin resistance was 46%. Combined cefotaxime and amikacin therapy was the most effective of all suggested initial combinations of antibiotics (74%). The sensitivity to all other combinations of antibiotics was 51-71%. The most adequate initial combination of antibiotics for the treatment of neonatal sepsis is cefotaxime plus amikacin. The most adequate antibiotic for the treatment of nosocomial neonatal sepsis is carbapenem."
